Meso.Num,Time,Time.hr,Row,Treatment,Meso.Volume.mL,turbidity.NTU,pH,temp.C,doc.mg/L,velocity.m/s,depth.m,width.m,q.L/s,Total.ER.mg/hr,Water.ER.mg/hr.L,Leaf.ER.mg/hr.m2,NH4.ugN.L,NO3.ugN.L,SRP.ugP.L
M1,T1A,0.666666667,1,BFL,24800,3.43,8.61,14.5,10,0.16,0.082,0.168,2.20416,-0.003933775,0.036,,10.33,313.9,12.91
M2,T1A,0.666666667,1,NCL,24800,1.04,8.63,14.5,8.2,0.12,0.081,0.168,1.63296,-0.013235294,-0.081818182,,21.18,332.9,16.36
M3,T1A,0.666666667,1,BFH,24800,0.61,8.6,14.5,9.6,0.13,0.08,0.168,1.7472,-0.011013158,-0.035526316,,5.264,293.3,9.537
M4,T1A,0.666666667,1,DOC,24800,2.3,8.69,14.3,69.5,0.16,0.075,0.168,2.016,,-0.431372549,,70.94,379.5,233.8
M5,T1A,0.666666667,1,NCH,24800,0.94,8.51,15.2,11.2,0.14,0.081,0.168,1.90512,-0.021099338,-0.072483221,,20.58,331.8,33.88
M6,T1A,0.666666667,1,ETO,24800,0.57,8.47,14.8,9.1,0.17,0.08,0.168,2.2848,,-0.024,,27.68,324.8,10.49
M7,T1A,0.666666667,2,ETO,24800,0.57,8.55,13.5,8.9,0.2,0.082,0.168,2.7552,,-0.016,,27.6,337.4,14.17
M8,T1A,0.666666667,2,NCL,24800,0.66,8.54,13.6,6.7,0.16,0.084,0.168,2.25792,-0.005877551,-0.028378378,,24.9,307.5,18.77
M9,T1A,0.666666667,2,NCH,24800,0.66,8.54,14.4,13.3,0.13,0.084,0.168,1.83456,-0.009918367,-0.07755102,,16.99,279.4,35.58
M10,T1A,0.666666667,2,BFH,24800,0.63,8.65,14.9,8.6,0.17,0.083,0.168,2.37048,0.028038462,-0.155555556,,5.233,225.3,10.62
M11,T1A,0.666666667,2,BFL,24800,2.31,8.58,14,5.9,0.15,0.082,0.168,2.0664,-0.0065625,-0.008333333,,11.36,323,11.41
M12,T1A,0.666666667,2,DOC,24800,0.58,8.63,13.2,74.5,0.14,0.082,0.168,1.92864,,-0.348251748,,87.86,356,328.7
M13,T1A,0.666666667,3,NCH,24800,0.44,8.54,14.7,13.5,0.14,0.075,0.168,1.764,-0.016161972,0.042253521,,14.62,341,30.82
M14,T1A,0.666666667,3,BFL,24800,2.79,8.55,15.1,7,0.16,0.076,0.168,2.04288,-0.010267606,-0.085106383,,8.132,327.2,13.95
M15,T1A,0.666666667,3,DOC,24800,1.66,8.63,14.7,4.3,0.19,0.075,0.168,2.394,,0.097777778,,107.5,364.1,264.9
M16,T1A,0.666666667,3,BFH,24800,0.37,8.44,15.2,9,0.12,0.08,0.168,1.6128,-0.009642857,-0.030215827,,6.868,302.7,26.4
M17,T1A,0.666666667,3,ETO,24800,0.81,8.5,14.2,7.9,0.17,0.077,0.168,2.19912,,-0.034782609,,26.47,341.6,13.26
M18,T1A,0.666666667,3,NCL,24800,0.35,8.53,14,12.1,0.15,0.079,0.168,1.9908,-0.015766423,-0.069565217,,24.73,343.6,17.22
M19,T1A,0.666666667,4,ETO,24800,0.47,8.5,14.9,6.5,0.18,0.079,0.168,2.38896,,-0.026086957,,28.78,347.9,12.51
M20,T1A,0.666666667,4,BFH,24800,0.42,8.56,15.1,8,0.14,0.077,0.168,1.81104,-0.002759124,0.060869565,,3.723,312,13.58
M21,T1A,0.666666667,4,NCL,24800,1.45,8.51,15.1,7.6,0.14,0.078,0.168,1.83456,-0.022632353,-0.008695652,,21.68,341.1,17.24
M22,T1A,0.666666667,4,BFL,24800,0.35,8.51,15.4,10.9,0.16,0.08,0.168,2.1504,-0.000992647,0.02189781,,8.884,286.1,11.04
M23,T1A,0.666666667,4,DOC,24800,2.7,8.6,15.3,64.4,0.2,0.079,0.168,2.6544,,-0.063380282,,133.1,377.8,412.5
M24,T1A,0.666666667,4,NCH,24800,0.64,8.47,15,9.8,0.13,0.077,0.168,1.68168,-0.0176,0.282089552,,17.82,338,34.44
M1,T2,6,1,BFL,24333.33333,0.46,8.78,14.7,,0.15,0.08,0.168,2.016,-0.003933775,0.036,,,,
M2,T2,6,1,NCL,24666.66667,0.61,8.82,14.4,,0.13,0.08,0.168,1.792,-0.013235294,-0.081818182,,,,
M3,T2,6,1,BFH,24666.66667,0.78,8.8,14.6,,0.13,0.079,0.168,1.7696,-0.011013158,-0.035526316,,,,
M4,T2,6,1,DOC,24333.33333,2.82,8.75,14.8,,0.15,0.073,0.168,1.8396,,-0.431372549,,,,
M5,T2,6,1,NCH,24333.33333,0.73,8.7,14.7,,0.15,0.079,0.168,1.94656,-0.021099338,-0.072483221,,,,
M6,T2,6,1,ETO,24333.33333,0.3,8.53,14.3,,0.17,0.078,0.168,2.184,,-0.024,,,,
M7,T2,6,2,ETO,24666.66667,0.64,8.62,12.5,,0.2,0.081,0.168,2.67624,,-0.016,,,,
M8,T2,6,2,NCL,24333.33333,0.49,8.83,12.6,,0.15,0.082,0.168,2.11232,-0.005877551,-0.028378378,,,,
M9,T2,6,2,NCH,24333.33333,1.27,8.79,13.4,,0.13,0.082,0.168,1.74496,-0.009918367,-0.07755102,,,,
M10,T2,6,2,BFH,24666.66667,0.32,8.87,13.6,,0.16,0.082,0.168,2.20416,0.028038462,-0.155555556,,,,
M11,T2,6,2,BFL,24333.33333,0.34,8.83,13.2,,0.14,0.08,0.168,1.8816,-0.0065625,-0.008333333,,,,
