Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M2_T1A_0.4,Ch1Unknown,CARP,Manual,0,ddPCR Supermix for Probes,0,,,0.25,0,0,13972,0,0,9,13963,0,13972,,,,,,,,,,,,,,,,,,1,1,7000,0,3734,3734,,,,,0.12,0,,,,,,,,,,,,
A02,Absolute Quantification,ABS,M2_T1A_0.4,Ch1Unknown,CARP,Manual,0.1,ddPCR Supermix for Probes,2,,,0.48,0,1,11671,0,1,11,11660,0,11672,,,,,,,,0.09,,,0.31,0,8,,,27,0,1,1,7000,9127.6,3964,3964.4,,,,,0.25,0.03,,,,,,,0.2,0,,,17,0
A03,Absolute Quantification,ABS,M2_T1A_0.4,Ch1Unknown,CARP,Manual,0.1,ddPCR Supermix for Probes,2,,,0.48,0,1,11776,0,1,8,11768,0,11777,,,,,,,,0.12,,,0.43,0,11,,,36,0,1,1,7000,8876.3,3946.5,3946.9,,,,,0.25,0.03,,,,,,,0.27,0,,,23,0
B01,Absolute Quantification,ABS,M18_T1A_1.2,Ch1Unknown,CARP,Manual,0.11,ddPCR Supermix for Probes,2.2,,,0.54,0,1,10428,0,1,15,10413,0,10429,,,,,,,,0.07,,,0.23,0,6,,,20,0,1,1,7000,8439.1,3720.6,3721,,,,,0.28,0.03,,,,,,,0.14,0,,,13,0
B02,Absolute Quantification,ABS,M18_T1A_1.2,Ch1Unknown,CARP,Manual,0.08,ddPCR Supermix for Probes,1.6,,,0.4,0,1,13970,0,1,9,13961,0,13971,,,,,,,,0.11,,,0.38,0,10,,,32,0,1,1,7000,9017.7,4018.9,4019.2,,,,,0.21,0.02,,,,,,,0.24,0,,,20,0
B03,Absolute Quantification,ABS,M18_T1A_1.2,Ch1Unknown,CARP,Manual,0.2,ddPCR Supermix for Probes,4,,,0.65,0.03,2,11684,0,2,11,11673,0,11686,,,,,,,,0.18,,,0.48,0,15,,,37,0,1,1,7000,8453.9,4014.2,4014.9,,,,,0.39,0.09,,,,,,,0.33,0.04,,,26,5
C01,Absolute Quantification,ABS,M18_T1A_0.4,Ch1Unknown,CARP,Manual,6.4,ddPCR Supermix for Probes,128,,,7.9,5.1,86,15752,5,81,657,15095,0.11,15838,,,,,,,,0.128,,,0.156,0.099,11.3,,,13.6,9,1,1,7000,8596.2,3784.9,3811,,,,,7.1,5.7,,,,,,,0.142,0.113,,,12.5,10.2
C02,Absolute Quantification,ABS,M18_T1A_0.4,Ch1Unknown,CARP,Manual,5.7,ddPCR Supermix for Probes,114,,,7.5,4.3,48,9830,0,48,414,9416,0,9878,,,,,,,,0.114,,,0.148,0.08,10.2,,,13,7.5,1,1,7000,9255.7,4129,4153.9,,,,,6.6,4.9,,,,,,,0.131,0.096,,,11.6,8.8
C03,Absolute Quantification,ABS,M18_T1A_0.4,Ch1Unknown,CARP,Manual,5.9,ddPCR Supermix for Probes,118,,,7.4,4.6,72,14317,6,66,592,13725,0.258,14389,,,,,,,,0.118,,,0.147,0.089,10.6,,,12.9,8.2,1,1,7000,8800.7,4024.8,4048.7,,,,,6.6,5.2,,,,,,,0.133,0.103,,,11.7,9.4
D01,Absolute Quantification,ABS,M20_T1A_0.4,Ch1Unknown,CARP,Manual,5.6,ddPCR Supermix for Probes,112,,,7.1,4.4,66,13723,0,66,514,13209,0,13789,,,,,,,,0.126,,,0.159,0.094,11.2,,,13.8,8.6,1,1,7000,8895.2,3905.3,3929.2,,,,,6.4,5,,,,,,,0.143,0.11,,,12.5,9.9
