Meso.Num,Time,Size,Vol.Filtered.mL
M1,T1A,1.2,200
M2,T1A,1.2,200
M3,T1A,1.2,200
M4,T1A,1.2,200
M5,T1A,1.2,200
M6,T1A,1.2,200
M7,T1A,1.2,200
M8,T1A,1.2,200
M9,T1A,1.2,200
M10,T1A,1.2,200
M11,T1A,1.2,200
M12,T1A,1.2,200
M13,T1A,1.2,200
M14,T1A,1.2,200
M15,T1A,1.2,200
M16,T1A,1.2,200
M17,T1A,1.2,200
M18,T1A,1.2,200
M19,T1A,1.2,200
M20,T1A,1.2,200
M21,T1A,1.2,200
M22,T1A,1.2,200
M23,T1A,1.2,200
M24,T1A,1.2,200
M1,T2,1.2,200
M2,T2,1.2,200
M3,T2,1.2,200
M4,T2,1.2,200
M5,T2,1.2,200
M6,T2,1.2,200
M7,T2,1.2,200
M8,T2,1.2,200
M9,T2,1.2,200
M10,T2,1.2,200
M11,T2,1.2,200
M12,T2,1.2,200
M13,T2,1.2,200
M14,T2,1.2,200
M15,T2,1.2,200
M16,T2,1.2,200
M17,T2,1.2,200
M18,T2,1.2,200
M19,T2,1.2,200
M20,T2,1.2,200
M21,T2,1.2,200
M22,T2,1.2,200
M23,T2,1.2,200
M24,T2,1.2,200
M1,T3,1.2,200
M2,T3,1.2,200
M3,T3,1.2,200
M4,T3,1.2,200
M5,T3,1.2,200
M6,T3,1.2,200
M7,T3,1.2,200
M8,T3,1.2,200
M9,T3,1.2,200
M10,T3,1.2,200
M11,T3,1.2,200
M12,T3,1.2,200
M13,T3,1.2,200
M14,T3,1.2,200
M15,T3,1.2,200
M16,T3,1.2,200
M17,T3,1.2,200
M18,T3,1.2,200
M19,T3,1.2,200
M20,T3,1.2,200
M21,T3,1.2,200
M22,T3,1.2,200
M23,T3,1.2,200
M24,T3,1.2,200
M1,T4,1.2,200
M2,T4,1.2,200
M3,T4,1.2,200
M4,T4,1.2,134
M5,T4,1.2,200
M6,T4,1.2,200
M7,T4,1.2,200
M8,T4,1.2,200
M9,T4,1.2,200
M10,T4,1.2,200
M11,T4,1.2,200
M12,T4,1.2,189
M13,T4,1.2,200
M14,T4,1.2,200
M15,T4,1.2,156
M16,T4,1.2,200
M17,T4,1.2,200
M18,T4,1.2,200
M19,T4,1.2,200
M20,T4,1.2,200
M21,T4,1.2,200
M22,T4,1.2,200
M23,T4,1.2,200
M24,T4,1.2,200
M1,T1A,0.4,200
M2,T1A,0.4,200
M3,T1A,0.4,200
M4,T1A,0.4,200
M5,T1A,0.4,200
M6,T1A,0.4,200
M7,T1A,0.4,200
M8,T1A,0.4,200
M9,T1A,0.4,200
M10,T1A,0.4,200
M11,T1A,0.4,200
M12,T1A,0.4,200
M13,T1A,0.4,200
M14,T1A,0.4,200
M15,T1A,0.4,200
M16,T1A,0.4,200
M17,T1A,0.4,200
M18,T1A,0.4,200
M19,T1A,0.4,200
M20,T1A,0.4,200
M21,T1A,0.4,200
M22,T1A,0.4,200
M23,T1A,0.4,200
M24,T1A,0.4,200
M1,T2,0.4,200
M2,T2,0.4,200
M3,T2,0.4,200
M4,T2,0.4,200
M5,T2,0.4,200
M6,T2,0.4,200
M7,T2,0.4,200
M8,T2,0.4,200
M9,T2,0.4,200
M10,T2,0.4,200
M11,T2,0.4,200
M12,T2,0.4,200
M13,T2,0.4,200
M14,T2,0.4,200
M15,T2,0.4,200
M16,T2,0.4,200
M17,T2,0.4,200
M18,T2,0.4,200
M19,T2,0.4,200
M20,T2,0.4,200
M21,T2,0.4,200
M22,T2,0.4,200
M23,T2,0.4,200
M24,T2,0.4,200
M1,T3,0.4,200
M2,T3,0.4,200
M3,T3,0.4,200
M4,T3,0.4,200
M5,T3,0.4,200
M6,T3,0.4,200
M7,T3,0.4,200
M8,T3,0.4,200
M9,T3,0.4,200
M10,T3,0.4,200
M11,T3,0.4,200
M12,T3,0.4,200
M13,T3,0.4,200
M14,T3,0.4,200
M15,T3,0.4,200
M16,T3,0.4,200
M17,T3,0.4,200
M18,T3,0.4,200
M19,T3,0.4,200
M20,T3,0.4,200
M21,T3,0.4,200
M22,T3,0.4,200
M23,T3,0.4,200
M24,T3,0.4,200
M1,T4,0.4,200
M2,T4,0.4,200
M3,T4,0.4,200
M4,T4,0.4,134
M5,T4,0.4,200
M6,T4,0.4,200
M7,T4,0.4,200
M8,T4,0.4,200
M9,T4,0.4,200
M10,T4,0.4,200
M11,T4,0.4,200
M12,T4,0.4,189
M13,T4,0.4,200
M14,T4,0.4,200
M15,T4,0.4,156
M16,T4,0.4,200
M17,T4,0.4,200
M18,T4,0.4,200
M19,T4,0.4,200
M20,T4,0.4,200
M21,T4,0.4,200
M22,T4,0.4,200
M23,T4,0.4,200
M24,T4,0.4,120
