"","Sample","Target","Well","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run","Dilution","Concentration","Meso.Num","Time","Size"
"1","M10_BKD_0.4","CARP","*",0,0,38141,38141,7000,13,1,0,"M10","BKD",0.4
"2","M10_BKD_0.4","STHD","*",0,0,38141,38141,4500,13,1,0,"M10","BKD",0.4
"3","M11_BKD_0.4","CARP","*",0,0,36909,36909,7000,13,1,0,"M11","BKD",0.4
"4","M11_BKD_0.4","STHD","*",1.26666666666667,2,36907,36909,4500,13,1,0.06,"M11","BKD",0.4
"5","M12_BKD_0.4","CARP","*",0,0,38434,38434,7000,13,1,0,"M12","BKD",0.4
"6","M12_BKD_0.4","STHD","*",0,0,38434,38434,4500,13,1,0,"M12","BKD",0.4
"7","M13_BKD_0.4","CARP","*",0,0,35135,35135,7000,13,1,0,"M13","BKD",0.4
"8","M13_BKD_0.4","STHD","*",0,0,35135,35135,4500,13,1,0,"M13","BKD",0.4
"9","M14_BKD_0.4","CARP","*",0,0,38067,38067,7000,13,1,0,"M14","BKD",0.4
"10","M14_BKD_0.4","STHD","*",0,0,38067,38067,4500,13,1,0,"M14","BKD",0.4
"11","M15_BKD_0.4","CARP","*",0,0,39249,39249,7000,13,1,0,"M15","BKD",0.4
"12","M15_BKD_0.4","STHD","*",0,0,39249,39249,4500,13,1,0,"M15","BKD",0.4
"13","M16_BKD_0.4","CARP","*",0,0,35736,35736,7000,13,1,0,"M16","BKD",0.4
"14","M16_BKD_0.4","STHD","*",0,0,35736,35736,4500,13,1,0,"M16","BKD",0.4
"15","M17_BKD_0.4","CARP","*",0,0,35437,35437,7000,13,1,0,"M17","BKD",0.4
"16","M17_BKD_0.4","STHD","*",0,0,35437,35437,4500,13,1,0,"M17","BKD",0.4
"17","M18_BKD_0.4","CARP","*",0,0,36937,36937,7000,13,1,0,"M18","BKD",0.4
"18","M18_BKD_0.4","STHD","*",0,0,36937,36937,4500,13,1,0,"M18","BKD",0.4
"19","M19_BKD_0.4","CARP","*",0,0,39561,39561,7000,13,1,0,"M19","BKD",0.4
"20","M19_BKD_0.4","STHD","*",0,0,39561,39561,4500,13,1,0,"M19","BKD",0.4
"21","M1_BKD_0.4","CARP","*",0,0,35193,35193,7000,12,1,0,"M1","BKD",0.4
"22","M1_BKD_0.4","STHD","*",0.733333333333333,1,35192,35193,4500,12,1,0.03,"M1","BKD",0.4
"23","M20_BKD_0.4","CARP","*",0,0,39640,39640,7000,13,1,0,"M20","BKD",0.4
"24","M20_BKD_0.4","STHD","*",0,0,39640,39640,4500,13,1,0,"M20","BKD",0.4
"25","M21_BKD_0.4","CARP","*",0.533333333333333,1,40543,40544,7000,13,1,0.02,"M21","BKD",0.4
"26","M21_BKD_0.4","STHD","*",0.533333333333333,1,40543,40544,4500,13,1,0.02,"M21","BKD",0.4
"27","M22_BKD_0.4","CARP","*",0,0,35352,35352,7000,13,1,0,"M22","BKD",0.4
"28","M22_BKD_0.4","STHD","*",0,0,35352,35352,4500,13,1,0,"M22","BKD",0.4
"29","M23_BKD_0.4","CARP","*",0,0,38522,38522,7000,13,1,0,"M23","BKD",0.4
"30","M23_BKD_0.4","STHD","*",0,0,38522,38522,4500,13,1,0,"M23","BKD",0.4
"31","M24_BKD_0.4","CARP","*",0,0,35036,35036,7000,13,1,0,"M24","BKD",0.4
"32","M24_BKD_0.4","STHD","*",0,0,35036,35036,4500,13,1,0,"M24","BKD",0.4
"33","M2_BKD_0.4","CARP","*",0,0,39068,39068,7000,12,1,0,"M2","BKD",0.4
"34","M2_BKD_0.4","STHD","*",0,0,39068,39068,4500,12,1,0,"M2","BKD",0.4
"35","M3_BKD_0.4","CARP","*",0,0,40229,40229,7000,12,1,0,"M3","BKD",0.4
"36","M3_BKD_0.4","STHD","*",1.66666666666667,3,40226,40229,4500,12,1,0.08,"M3","BKD",0.4
"37","M4_BKD_0.4","CARP","*",0.666666666666667,1,41889,41890,7000,12,1,0.02,"M4","BKD",0.4
"38","M4_BKD_0.4","STHD","*",0,0,41890,41890,4500,12,1,0,"M4","BKD",0.4
"39","M5_BKD_0.4","CARP","*",0,0,45010,45010,7000,12,1,0,"M5","BKD",0.4
"40","M5_BKD_0.4","STHD","*",1.53333333333333,3,45007,45010,4500,12,1,0.07,"M5","BKD",0.4
"41","M6_BKD_0.4","CARP","*",0,0,41371,41371,7000,12,1,0,"M6","BKD",0.4
"42","M6_BKD_0.4","STHD","*",0.533333333333333,1,41370,41371,4500,12,1,0.02,"M6","BKD",0.4
"43","M7_BKD_0.4","CARP","*",0,0,45279,45279,7000,12,1,0,"M7","BKD",0.4
"44","M7_BKD_0.4","STHD","*",0,0,45279,45279,4500,12,1,0,"M7","BKD",0.4
"45","M8_BKD_0.4","CARP","*",0,0,40885,40885,7000,12,1,0,"M8","BKD",0.4
"46","M8_BKD_0.4","STHD","*",0,0,40885,40885,4500,12,1,0,"M8","BKD",0.4
"47","M9_BKD_0.4","CARP","*",0,0,38633,38633,7000,13,1,0,"M9","BKD",0.4
"48","M9_BKD_0.4","STHD","*",0,0,38633,38633,4500,13,1,0,"M9","BKD",0.4
