"","Well","Sample","Target","Concentration","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run"
"25","A04","Positive_CTL","CARP",0,0,0,11523,11523,7000,1
"26","B04","Positive_CTL","CARP",0,0,0,11088,11088,7000,1
"27","C04","Positive_CTL","CARP",0.09,1.8,1,12960,12961,7000,1
"28","D04","Negative_CTL","CARP",0,0,0,12443,12443,7000,1
"29","E04","Negative_CTL","CARP",0,0,0,12519,12519,7000,1
"30","F04","Negative_CTL","CARP",0,0,0,11842,11842,7000,1
"31","G04","Negative_CTL","CARP",0,0,0,13440,13440,7000,1
"32","H04","Negative_CTL","CARP",0,0,0,12279,12279,7000,1
"57","A04","Positive_CTL","STHD",251,5020,2212,9311,11523,4500,1
"58","B04","Positive_CTL","STHD",242,4840,2063,9025,11088,4500,1
"59","C04","Positive_CTL","STHD",258,5160,2553,10408,12961,4500,1
"60","D04","Negative_CTL","STHD",0,0,0,12443,12443,4500,1
"61","E04","Negative_CTL","STHD",0,0,0,12519,12519,4500,1
"62","F04","Negative_CTL","STHD",0,0,0,11842,11842,4500,1
"63","G04","Negative_CTL","STHD",0,0,0,13440,13440,4500,1
"64","H04","Negative_CTL","STHD",0,0,0,12279,12279,4500,1
"89","A04","Positive_CTL","CARP",51.4,1028,492,11010,11502,7000,2
"90","B04","Positive_CTL","CARP",54.3,1086,546,11563,12109,7000,2
"91","C04","Positive_CTL","CARP",53,1060,537,11647,12184,7000,2
"92","D04","Negative_CTL","CARP",0,0,0,11295,11295,7000,2
"93","E04","Negative_CTL","CARP",0,0,0,14269,14269,7000,2
"94","F04","Negative_CTL","CARP",0,0,0,11930,11930,7000,2
"95","G04","Negative_CTL","CARP",0,0,0,13031,13031,7000,2
"96","H04","Negative_CTL","CARP",0.09,1.8,1,13506,13507,7000,2
"121","A04","Positive_CTL","STHD",121,2420,1127,10375,11502,4500,2
"122","B04","Positive_CTL","STHD",124,2480,1215,10894,12109,4500,2
"123","C04","Positive_CTL","STHD",136,2720,1334,10850,12184,4500,2
"124","D04","Negative_CTL","STHD",0,0,0,11295,11295,4500,2
"125","E04","Negative_CTL","STHD",0,0,0,14269,14269,4500,2
"126","F04","Negative_CTL","STHD",0,0,0,11930,11930,4500,2
"127","G04","Negative_CTL","STHD",0,0,0,13031,13031,4500,2
"128","H04","Negative_CTL","STHD",0,0,0,13507,13507,4500,2
"159","G04","Positive_CTL","CARP",43.4,868,440,11708,12148,7000,3
"160","H04","Negative_CTL","CARP",0,0,0,14237,14237,7000,3
"167","G05","Positive_CTL","CARP",53.2,1064,480,10376,10856,7000,3
"168","H05","Negative_CTL","CARP",0,0,0,9423,9423,7000,3
"199","G04","Positive_CTL","STHD",145,2900,1409,10739,12148,4500,3
"200","H04","Negative_CTL","STHD",0,0,0,14237,14237,4500,3
"207","G05","Positive_CTL","STHD",150,3000,1298,9558,10856,4500,3
"208","H05","Negative_CTL","STHD",0,0,0,9423,9423,4500,3
"233","A04","Negative_CTL","CARP",0,0,0,9205,9205,7000,4
"234","B04","Negative_CTL","CARP",0,0,0,12590,12590,7000,4
"235","C04","Negative_CTL","CARP",0,0,0,9389,9389,7000,4
"236","D04","Negative_CTL","CARP",0,0,0,11366,11366,7000,4
"237","E04","Negative_CTL","CARP",0,0,0,10245,10245,7000,4
"238","F04","Positive_CTL","CARP",44.7,894,392,10129,10521,7000,4
"239","G04","Positive_CTL","CARP",54.5,1090,600,12653,13253,7000,4
"240","H04","Positive_CTL","CARP",49.3,986,394,9202,9596,7000,4
"265","A04","Negative_CTL","STHD",0,0,0,9205,9205,4500,4
"266","B04","Negative_CTL","STHD",0,0,0,12590,12590,4500,4
"267","C04","Negative_CTL","STHD",0,0,0,9389,9389,4500,4
"268","D04","Negative_CTL","STHD",0,0,0,11366,11366,4500,4
"269","E04","Negative_CTL","STHD",0,0,0,10245,10245,4500,4
"270","F04","Positive_CTL","STHD",129,2580,1095,9426,10521,4500,4
"271","G04","Positive_CTL","STHD",130,2600,1389,11864,13253,4500,4
"272","H04","Positive_CTL","STHD",153,3060,1172,8424,9596,4500,4
"333","G07","Positive_CTL","CARP",55.4,1108,528,10951,11479,7000,5
"334","G08","Positive_CTL","CARP",46.1,922,485,12144,12629,7000,5
"335","G09","Positive_CTL","CARP",12.1,242,104,10040,10144,7000,5
"342","H07","Negative_CTL","CARP",0,0,0,9319,9319,7000,5
"343","H08","Negative_CTL","CARP",0,0,0,12679,12679,7000,5
"344","H09","Negative_CTL","CARP",0,0,0,8708,8708,7000,5
"405","G07","Positive_CTL","STHD",151,3020,1385,10094,11479,4500,5
"406","G08","Positive_CTL","STHD",114,2280,1170,11459,12629,4500,5
"407","G09","Positive_CTL","STHD",24.3,486,207,9937,10144,4500,5
"414","H07","Negative_CTL","STHD",0,0,0,9319,9319,4500,5
"415","H08","Negative_CTL","STHD",0,0,0,12679,12679,4500,5
"416","H09","Negative_CTL","STHD",0,0,0,8708,8708,4500,5
"477","G07","Positive_CTL","CARP",57.9,1158,554,10987,11541,7000,6
"478","G08","Positive_CTL","CARP",52.6,1052,516,11293,11809,7000,6
"479","G09","Negative_CTL","CARP",0,0,0,13357,13357,7000,6
"486","H07","Negative_CTL","CARP",0,0,0,13007,13007,7000,6
"487","H08","Negative_CTL","CARP",0,0,0,11770,11770,7000,6
"488","H09","Negative_CTL","CARP",0,0,0,10941,10941,7000,6
"549","G07","Positive_CTL","STHD",147,2940,1356,10185,11541,4500,6
"550","G08","Positive_CTL","STHD",135,2700,1280,10529,11809,4500,6
"551","G09","Negative_CTL","STHD",0,0,0,13357,13357,4500,6
"558","H07","Negative_CTL","STHD",0,0,0,13007,13007,4500,6
"559","H08","Negative_CTL","STHD",0,0,0,11770,11770,4500,6
"560","H09","Negative_CTL","STHD",0,0,0,10941,10941,4500,6
"600","G04","Positive_CTL","CARP",52.8,1056,450,9810,10260,7000,7
"601","G05","Positive_CTL","CARP",54.3,1086,583,12340,12923,7000,7
"602","G06","Negative_CTL","CARP",0.11,2.2,1,10782,10783,7000,7
"606","H04","Negative_CTL","CARP",0,0,0,11136,11136,7000,7
"607","H05","Negative_CTL","CARP",0,0,0,12820,12820,7000,7
"608","H06","Negative_CTL","CARP",0,0,0,11495,11495,7000,7
"648","G04","Positive_CTL","STHD",140,2800,1154,9106,10260,4500,7
"649","G05","Positive_CTL","STHD",136,2720,1414,11509,12923,4500,7
