"","Sample","Target","Well","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run","Dilution","Concentration","Meso.Num","Time","Size","Vol.Filtered.mL","GC.mL","Time.hr","Row","Treatment","Meso.Volume.mL","turbidity.NTU","pH","temp.C","doc.mg.L","velocity.m.s","depth.m","width.m","q.L.s","Total.ER.mg.hr","Water.ER.mg.hr.L","Leaf.ER.mg.hr.m2","NH4.ugN.L","NO3.ugN.L","SRP.ugP.L","Gc.mesocosm"
"1","M10_T1A_0.4","CARP","*",173.333333333333,224,30970,31194,7000,6,1,8.49,"M10","T1A",0.4,200,10.6125,0.666666667,2,"BFH",24800,0.63,8.65,14.9,8.6,0.17,0.083,0.168,2.37048,0.028038462,-0.155555556,NA,5.233,225.3,10.62,263190
"2","M10_T1A_0.4","STHD","*",1231.33333333333,1600,29594,31194,4500,6,1,62.09,"M10","T1A",0.4,200,77.6125,0.666666667,2,"BFH",24800,0.63,8.65,14.9,8.6,0.17,0.083,0.168,2.37048,0.028038462,-0.155555556,NA,5.233,225.3,10.62,1924790
"3","M10_T1A_1.2","CARP","*",240,305,30098,30403,7000,6,1,11.88,"M10","T1A",1.2,200,14.85,0.666666667,2,"BFH",24800,0.63,8.65,14.9,8.6,0.17,0.083,0.168,2.37048,0.028038462,-0.155555556,NA,5.233,225.3,10.62,368280
"4","M10_T1A_1.2","STHD","*",850.666666666667,1078,29325,30403,4500,6,1,42.57,"M10","T1A",1.2,200,53.2125,0.666666667,2,"BFH",24800,0.63,8.65,14.9,8.6,0.17,0.083,0.168,2.37048,0.028038462,-0.155555556,NA,5.233,225.3,10.62,1319670
"5","M10_T2_0.4","CARP","*",68.6666666666667,101,34934,35035,7000,6,1,3.4,"M10","T2",0.4,200,4.25,6,2,"BFH",24666.66667,0.32,8.87,13.6,NA,0.16,0.082,0.168,2.20416,0.028038462,-0.155555556,NA,NA,NA,NA,104833.3333475
"6","M10_T2_0.4","STHD","*",393.333333333333,580,34455,35035,4500,6,1,19.68,"M10","T2",0.4,200,24.6,6,2,"BFH",24666.66667,0.32,8.87,13.6,NA,0.16,0.082,0.168,2.20416,0.028038462,-0.155555556,NA,NA,NA,NA,606800.000082
"7","M10_T2_1.2","CARP","*",59.3333333333333,98,38634,38732,7000,6,1,2.98,"M10","T2",1.2,200,3.725,6,2,"BFH",24666.66667,0.32,8.87,13.6,NA,0.16,0.082,0.168,2.20416,0.028038462,-0.155555556,NA,NA,NA,NA,91883.33334575
"8","M10_T2_1.2","STHD","*",254,416,38316,38732,4500,6,1,12.73,"M10","T2",1.2,200,15.9125,6,2,"BFH",24666.66667,0.32,8.87,13.6,NA,0.16,0.082,0.168,2.20416,0.028038462,-0.155555556,NA,NA,NA,NA,392508.333386375
"9","M10_T3_0.4","CARP","*",9.66666666666667,13,32256,32269,7000,7,1,0.47,"M10","T3",0.4,200,0.5875,18,2,"BFH",23666.66667,0.4,8.9,12.7,NA,0.15,0.079,0.168,1.9908,0.028038462,-0.155555556,NA,NA,NA,NA,13904.166668625
"10","M10_T3_0.4","STHD","*",33.3333333333333,45,32224,32269,4500,7,1,1.64,"M10","T3",0.4,200,2.05,18,2,"BFH",23666.66667,0.4,8.9,12.7,NA,0.15,0.079,0.168,1.9908,0.028038462,-0.155555556,NA,NA,NA,NA,48516.6666735
"11","M10_T3_1.2","CARP","*",23.3333333333333,39,39630,39669,7000,7,1,1.15,"M10","T3",1.2,200,1.4375,18,2,"BFH",23666.66667,0.4,8.9,12.7,NA,0.15,0.079,0.168,1.9908,0.028038462,-0.155555556,NA,NA,NA,NA,34020.833338125
"12","M10_T3_1.2","STHD","*",154,258,39411,39669,4500,7,1,7.69,"M10","T3",1.2,200,9.6125,18,2,"BFH",23666.66667,0.4,8.9,12.7,NA,0.15,0.079,0.168,1.9908,0.028038462,-0.155555556,NA,NA,NA,NA,227495.833365375
"13","M10_T4_0.4","CARP","*",1.26666666666667,2,38292,38294,7000,8,1,0.06,"M10","T4",0.4,200,0.075,30,2,"BFH",22333.33333,0.38,8.94,14.7,18.5,0.14,0.075,0.168,1.764,0.028038462,-0.155555556,NA,1.613,67.5,17.05,1674.99999975
"14","M10_T4_0.4","STHD","*",5.06666666666667,8,38286,38294,4500,8,1,0.24,"M10","T4",0.4,200,0.3,30,2,"BFH",22333.33333,0.38,8.94,14.7,18.5,0.14,0.075,0.168,1.764,0.028038462,-0.155555556,NA,1.613,67.5,17.05,6699.999999
"15","M10_T4_1.2","CARP","*",5.6,8,33749,33757,7000,8,1,0.27,"M10","T4",1.2,200,0.3375,30,2,"BFH",22333.33333,0.38,8.94,14.7,18.5,0.14,0.075,0.168,1.764,0.028038462,-0.155555556,NA,1.613,67.5,17.05,7537.499998875
"16","M10_T4_1.2","STHD","*",50.6666666666667,73,33684,33757,4500,8,1,2.55,"M10","T4",1.2,200,3.1875,30,2,"BFH",22333.33333,0.38,8.94,14.7,18.5,0.14,0.075,0.168,1.764,0.028038462,-0.155555556,NA,1.613,67.5,17.05,71187.499989375
"17","M11_T1A_0.4","CARP","*",154.666666666667,231,34779,35010,7000,6,1,7.8,"M11","T1A",0.4,200,9.75,0.666666667,2,"BFL",24800,2.31,8.58,14,5.9,0.15,0.082,0.168,2.0664,-0.0065625,-0.008333333,NA,11.36,323,11.41,241800
"18","M11_T1A_0.4","STHD","*",1204.66666666667,1756,33254,35010,4500,6,1,60.68,"M11","T1A",0.4,200,75.85,0.666666667,2,"BFL",24800,2.31,8.58,14,5.9,0.15,0.082,0.168,2.0664,-0.0065625,-0.008333333,NA,11.36,323,11.41,1881080
"19","M11_T1A_1.2","CARP","*",206,288,32787,33075,7000,6,1,10.31,"M11","T1A",1.2,200,12.8875,0.666666667,2,"BFL",24800,2.31,8.58,14,5.9,0.15,0.082,0.168,2.0664,-0.0065625,-0.008333333,NA,11.36,323,11.41,319610
"20","M11_T1A_1.2","STHD","*",714.666666666667,988,32087,33075,4500,6,1,35.76,"M11","T1A",1.2,200,44.7,0.666666667,2,"BFL",24800,2.31,8.58,14,5.9,0.15,0.082,0.168,2.0664,-0.0065625,-0.008333333,NA,11.36,323,11.41,1108560
"21","M11_T2_0.4","CARP","*",28.6666666666667,42,34407,34449,7000,6,1,1.43,"M11","T2",0.4,200,1.7875,6,2,"BFL",24333.33333,0.34,8.83,13.2,NA,0.14,0.08,0.168,1.8816,-0.0065625,-0.008333333,NA,NA,NA,NA,43495.833327375
"22","M11_T2_0.4","STHD","*",159.333333333333,233,34216,34449,4500,6,1,8,"M11","T2",0.4,200,10,6,2,"BFL",24333.33333,0.34,8.83,13.2,NA,0.14,0.08,0.168,1.8816,-0.0065625,-0.008333333,NA,NA,NA,NA,243333.3333
"23","M11_T2_1.2","CARP","*",117,355,71577,71932,7000,6,1,5.83,"M11","T2",1.2,200,7.2875,6,2,"BFL",24333.33333,0.34,8.83,13.2,NA,0.14,0.08,0.168,1.8816,-0.0065625,-0.008333333,NA,NA,NA,NA,177329.166642375
"24","M11_T2_1.2","STHD","*",487.666666666667,1473,70459,71932,4500,6,1,24.39,"M11","T2",1.2,200,30.4875,6,2,"BFL",24333.33333,0.34,8.83,13.2,NA,0.14,0.08,0.168,1.8816,-0.0065625,-0.008333333,NA,NA,NA,NA,741862.499898375
"25","M11_T3_0.4","CARP","*",14.7333333333333,22,37666,37688,7000,7,1,0.68,"M11","T3",0.4,200,0.85,18,2,"BFL",23333.33333,0.44,8.78,12.8,NA,0.13,0.077,0.168,1.68168,-0.0065625,-0.008333333,NA,NA,NA,NA,19833.3333305
"26","M11_T3_0.4","STHD","*",30.6666666666667,50,37638,37688,4500,7,1,1.56,"M11","T3",0.4,200,1.95,18,2,"BFL",23333.33333,0.44,8.78,12.8,NA,0.13,0.077,0.168,1.68168,-0.0065625,-0.008333333,NA,NA,NA,NA,45499.9999935
"27","M11_T3_1.2","CARP","*",22.6666666666667,38,37128,37166,7000,7,1,1.2,"M11","T3",1.2,200,1.5,18,2,"BFL",23333.33333,0.44,8.78,12.8,NA,0.13,0.077,0.168,1.68168,-0.0065625,-0.008333333,NA,NA,NA,NA,34999.999995
"28","M11_T3_1.2","STHD","*",308,484,36682,37166,4500,7,1,15.45,"M11","T3",1.2,200,19.3125,18,2,"BFL",23333.33333,0.44,8.78,12.8,NA,0.13,0.077,0.168,1.68168,-0.0065625,-0.008333333,NA,NA,NA,NA,450624.999935625
"29","M11_T4_0.4","CARP","*",0.333333333333333,2,96146,96148,7000,8,1,0.02,"M11","T4",0.4,200,0.025,30,2,"BFL",22000,0.42,8.77,14.4,12.8,0.12,0.073,0.168,1.47168,-0.0065625,-0.008333333,NA,2.064,154.7,13.7,550
"30","M11_T4_0.4","STHD","*",0.644444444444444,3,96145,96148,4500,8,1,0.03,"M11","T4",0.4,200,0.0375,30,2,"BFL",22000,0.42,8.77,14.4,12.8,0.12,0.073,0.168,1.47168,-0.0065625,-0.008333333,NA,2.064,154.7,13.7,825
"31","M11_T4_1.2","CARP","*",10.2,14,33898,33912,7000,8,1,0.48,"M11","T4",1.2,200,0.6,30,2,"BFL",22000,0.42,8.77,14.4,12.8,0.12,0.073,0.168,1.47168,-0.0065625,-0.008333333,NA,2.064,154.7,13.7,13200
"32","M11_T4_1.2","STHD","*",126.666666666667,187,33725,33912,4500,8,1,6.52,"M11","T4",1.2,200,8.15,30,2,"BFL",22000,0.42,8.77,14.4,12.8,0.12,0.073,0.168,1.47168,-0.0065625,-0.008333333,NA,2.064,154.7,13.7,179300
"33","M12_T1A_0.4","CARP","*",166.666666666667,262,36523,36785,7000,6,1,8.42,"M12","T1A",0.4,200,10.525,0.666666667,2,"DOC",24800,0.58,8.63,13.2,74.5,0.14,0.082,0.168,1.92864,NA,-0.348251748,NA,87.86,356,328.7,261020
