"","Well","Sample","Target","Concentration","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run","Bucket","Rel.soln","Size","Dilution","GC.mL"
"1787","A01","BKT1_STHD_1.2","STHD",153,3060,571,4118,4689,4500,14,"BKT1","STHD",1.2,"1",382.5
"1788","A02","BKT1_STHD_1.2","STHD",206,4120,789,4127,4916,4500,14,"BKT1","STHD",1.2,"1",515
"1789","A03","BKT1_STHD_1.2","STHD",325,6500,1302,4091,5393,4500,14,"BKT1","STHD",1.2,"1",812.5
"1790","B01","BKT1_STHD_0.4","STHD",163,3260,755,5095,5850,4500,14,"BKT1","STHD",0.4,"1",407.5
"1791","B02","BKT1_STHD_0.4","STHD",137,2740,544,4399,4943,4500,14,"BKT1","STHD",0.4,"1",342.5
"1792","B03","BKT1_STHD_0.4","STHD",167,3340,653,4290,4943,4500,14,"BKT1","STHD",0.4,"1",417.5
"1793","C01","BKT2_STHD_1.2","STHD",447,8940,1877,4065,5942,4500,14,"BKT2","STHD",1.2,"1",1117.5
"1794","C02","BKT2_STHD_1.2","STHD",447,8940,2239,4844,7083,4500,14,"BKT2","STHD",1.2,"1",1117.5
"1795","C03","BKT2_STHD_1.2","STHD",313,6260,1265,4149,5414,4500,14,"BKT2","STHD",1.2,"1",782.5
"1796","D01","BKT2_STHD_0.4","STHD",242,4840,1177,5144,6321,4500,14,"BKT2","STHD",0.4,"1",605
"1797","D02","BKT2_STHD_0.4","STHD",293,5860,1265,4473,5738,4500,14,"BKT2","STHD",0.4,"1",732.5
"1798","D03","BKT2_STHD_0.4","STHD",292,5840,1245,4413,5658,4500,14,"BKT2","STHD",0.4,"1",730
"1799","E01","BKT3_STHD_1.2","STHD",439,8780,1829,4040,5869,4500,14,"BKT3","STHD",1.2,"1",1097.5
"1800","E02","BKT3_STHD_1.2","STHD",484,9680,2003,3938,5941,4500,14,"BKT3","STHD",1.2,"1",1210
"1801","E03","BKT3_STHD_1.2","STHD",406,8120,1836,4461,6297,4500,14,"BKT3","STHD",1.2,"1",1015
"1802","F01","BKT3_STHD_0.4","STHD",355,7100,1684,4787,6471,4500,14,"BKT3","STHD",0.4,"1",887.5
"1803","F02","BKT3_STHD_0.4","STHD",445,8900,2200,4787,6987,4500,14,"BKT3","STHD",0.4,"1",1112.5
"1804","F03","BKT3_STHD_0.4","STHD",452,9040,2266,4838,7104,4500,14,"BKT3","STHD",0.4,"1",1130
"1805","G01","BKT4_STHD_1.2","STHD",195,3900,1009,5612,6621,4500,14,"BKT4","STHD",1.2,"1",487.5
"1806","G02","BKT4_STHD_1.2","STHD",305,6100,1544,5226,6770,4500,14,"BKT4","STHD",1.2,"1",762.5
"1807","G03","BKT4_STHD_1.2","STHD",319,6380,1572,5038,6610,4500,14,"BKT4","STHD",1.2,"1",797.5
"1808","H01","BKT4_STHD_0.4","STHD",153,3060,785,5646,6431,4500,14,"BKT4","STHD",0.4,"1",382.5
"1809","H02","BKT4_STHD_0.4","STHD",161,3220,901,6142,7043,4500,14,"BKT4","STHD",0.4,"1",402.5
"1810","H03","BKT4_STHD_0.4","STHD",256,5120,1440,5929,7369,4500,14,"BKT4","STHD",0.4,"1",640
"2139","A01","BKT1_CARP_1.2_2","CARP",121,1210,568,10761,11329,7000,18,"BKT1","CARP",1.2,"2",302.5
"2140","A02","BKT1_CARP_1.2_2","CARP",118.4,1184,707,13697,14404,7000,18,"BKT1","CARP",1.2,"2",296
