Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,M17_T4_1.2,Ch1Unknown,CARP,Manual,0.42,ddPCR Supermix for Probes,8.4,,,0.99,0.13,4,11233,0,4,89,11144,0,11237,,,,,,,,0.045,,,0.092,0,4.3,,,8.6,0,1,1,7000,8761.3,3869.7,3871.4,,,,,0.67,0.24,,,,,,,0.068,0.021,,,6.4,2.1
A02,Absolute Quantification,ABS,M17_T4_1.2,Ch1Unknown,CARP,Manual,0.54,ddPCR Supermix for Probes,10.8,,,1.1,0.21,6,13112,0,6,80,13032,0,13118,,,,,,,,0.07,,,0.14,0.01,7,,,12,1,1,1,7000,8446.5,3771.3,3773.4,,,,,0.79,0.35,,,,,,,0.107,0.043,,,9.7,4.2
A03,Absolute Quantification,ABS,M17_T4_1.2,Ch1Unknown,CARP,Manual,0.27,ddPCR Supermix for Probes,5.4,,,0.73,0.07,3,12840,0,3,95,12745,0,12843,,,,,,,,0.031,,,0.07,0,3.1,,,6.7,0,1,1,7000,8595.8,3964.8,3965.9,,,,,0.47,0.14,,,,,,,0.051,0.012,,,4.8,1.3
B01,Absolute Quantification,ABS,M17_T4_0.4,Ch1Unknown,CARP,Manual,0.51,ddPCR Supermix for Probes,10.2,,,1.11,0.18,5,11529,0,5,14,11515,0,11534,,,,,,,,0.36,,,0.73,0,26,,,47,6,1,1,7000,8964.8,3868.6,3870.8,,,,,0.78,0.31,,,,,,,0.55,0.17,,,37,16
B02,Absolute Quantification,ABS,M17_T4_0.4,Ch1Unknown,CARP,Manual,0.2,ddPCR Supermix for Probes,4,,,0.63,0.03,2,12049,0,2,9,12040,0,12051,,,,,,,,0.22,,,0.59,0,18,,,43,0,1,1,7000,8651.3,3777.9,3778.7,,,,,0.38,0.08,,,,,,,0.4,0.04,,,30,6
B03,Absolute Quantification,ABS,M17_T4_0.4,Ch1Unknown,CARP,Manual,0.31,ddPCR Supermix for Probes,6.2,,,0.74,0.09,4,15031,0,4,20,15011,0,15035,,,,,,,,0.2,,,0.42,0,17,,,32,1,1,1,7000,8867.8,3942.2,3943.5,,,,,0.5,0.18,,,,,,,0.31,0.09,,,24,9
C01,Absolute Quantification,ABS,M18_T4_1.2,Ch1Unknown,CARP,Manual,0.7,ddPCR Supermix for Probes,14,,,1.4,0.3,6,10636,0,6,69,10567,0,10642,,,,,,,,0.09,,,0.16,0.01,8,,,14,2,1,1,7000,8922,4038.9,4041.6,,,,,0.98,0.43,,,,,,,0.124,0.049,,,11.1,4.8
C02,Absolute Quantification,ABS,M18_T4_1.2,Ch1Unknown,CARP,Manual,1.2,ddPCR Supermix for Probes,24,,,1.9,0.7,15,14468,0,15,61,14407,0,14483,,,,,,,,0.25,,,0.39,0.11,20,,,29,11,1,1,7000,8564.5,3883.4,3888.2,,,,,1.56,0.93,,,,,,,0.32,0.17,,,24.3,15.1
C03,Absolute Quantification,ABS,M18_T4_1.2,Ch1Unknown,CARP,Manual,1,ddPCR Supermix for Probes,20,,,1.7,0.5,11,13083,0,11,61,13022,0,13094,,,,,,,,0.18,,,0.3,0.06,15,,,24,7,1,1,7000,8663.5,4029.5,4033.4,,,,,1.32,0.72,,,,,,,0.24,0.12,,,19.5,11
D01,Absolute Quantification,ABS,M18_T4_0.4,Ch1Unknown,CARP,Manual,0.46,ddPCR Supermix for Probes,9.2,,,0.99,0.16,5,12872,0,5,32,12840,0,12877,,,,,,,,0.16,,,0.31,0,14,,,25,2,1,1,7000,8605.1,4121,4122.7,,,,,0.7,0.28,,,,,,,0.23,0.08,,,19,8
D02,Absolute Quantification,ABS,M18_T4_0.4,Ch1Unknown,CARP,Manual,0.15,ddPCR Supermix for Probes,3,,,0.47,0.02,2,16037,0,2,30,16007,0,16039,,,,,,,,0.07,,,0.17,0,6,,,15,0,1,1,7000,8392.2,3940.1,3940.6,,,,,0.28,0.06,,,,,,,0.12,0.02,,,10.7,1.8
D03,Absolute Quantification,ABS,M18_T4_0.4,Ch1Unknown,CARP,Manual,0.36,ddPCR Supermix for Probes,7.2,,,0.85,0.11,4,13004,0,4,30,12974,0,13008,,,,,,,,0.13,,,0.28,0,12,,,23,0,1,1,7000,8734.4,4072.9,4074.4,,,,,0.58,0.21,,,,,,,0.21,0.06,,,17,6
E01,Absolute Quantification,ABS,M19_T1A_1.2,Ch1Unknown,CARP,Manual,12,ddPCR Supermix for Probes,240,,,14.2,9.8,111,10834,12,99,373,10461,0.911,10945,,,,,,,,0.28,,,0.34,0.22,22.2,,,25.8,18.5,1,1,7000,8654.9,3821.9,3870.9,,,,,13.1,10.9,,,,,,,0.315,0.254,,,24,20.3
E02,Absolute Quantification,ABS,M19_T1A_1.2,Ch1Unknown,CARP,Manual,9.6,ddPCR Supermix for Probes,192,,,11.3,7.8,115,14053,10,105,464,13589,0.533,14168,,,,,,,,0.24,,,0.288,0.191,19.3,,,22.5,16.1,1,1,7000,8482.4,3807.4,3845.4,,,,,10.5,8.7,,,,,,,0.264,0.215,,,20.9,17.7
E03,Absolute Quantification,ABS,M19_T1A_1.2,Ch1Unknown,CARP,Manual,10,ddPCR Supermix for Probes,200,,,11.8,8.2,115,13454,9,106,463,12991,0.453,13569,,,,,,,,0.24,,,0.289,0.191,19.4,,,22.6,16.2,1,1,7000,8662.3,3962.7,4002.5,,,,,10.9,9.1,,,,,,,0.265,0.215,,,21,17.8
F01,Absolute Quantification,ABS,M19_T1A_0.4,Ch1Unknown,CARP,Manual,1.8,ddPCR Supermix for Probes,36,,,2.7,1.2,22,14199,1,21,155,14044,0.0636,14221,,,,,,,,0.14,,,0.2,0.08,12.3,,,17.2,7.5,1,1,7000,8836.6,3868,3875.7,,,,,2.24,1.46,,,,,,,0.172,0.108,,,14.8,9.8
F02,Absolute Quantification,ABS,M19_T1A_0.4,Ch1Unknown,CARP,Manual,2,ddPCR Supermix for Probes,40,,,2.8,1.3,27,16012,1,26,151,15861,0.0552,16039,,,,,,,,0.18,,,0.25,0.1,15,,,20,10,1,1,7000,8648.1,3859.8,3867.9,,,,,2.39,1.63,,,,,,,0.214,0.14,,,17.7,12.4
F03,Absolute Quantification,ABS,M19_T1A_0.4,Ch1Unknown,CARP,Manual,2.1,ddPCR Supermix for Probes,42,,,3.1,1.3,21,11911,2,19,135,11776,0.176,11932,,,,,,,,0.15,,,0.22,0.08,13,,,19,8,1,1,7000,8768.9,4017.6,4025.9,,,,,2.56,1.65,,,,,,,0.188,0.117,,,15.9,10.5
G01,Absolute Quantification,ABS,M20_T1A_1.2,Ch1Unknown,CARP,Manual,14.1,ddPCR Supermix for Probes,282,,,16.5,11.7,136,11279,15,121,465,10814,1.01,11415,,,,,,,,0.28,,,0.33,0.23,21.8,,,25.1,18.6,1,1,7000,8648.5,3846.7,3903.9,,,,,15.3,12.9,,,,,,,0.306,0.252,,,23.5,20.2
G02,Absolute Quantification,ABS,M20_T1A_1.2,Ch1Unknown,CARP,Manual,14.3,ddPCR Supermix for Probes,286,,,16.6,12,153,12512,21,132,430,12082,1.52,12665,,,,,,,,0.34,,,0.4,0.27,25.1,,,28.6,21.7,1,1,7000,8444.4,3852.8,3908.3,,,,,15.5,13.1,,,,,,,0.367,0.304,,,26.9,23.3
G03,Absolute Quantification,ABS,M20_T1A_1.2,Ch1Unknown,CARP,Manual,12.7,ddPCR Supermix for Probes,254,,,14.8,10.6,138,12733,24,114,493,12240,1.78,12871,,,,,,,,0.263,,,0.312,0.214,20.8,,,23.9,17.7,1,1,7000,8705.8,4009.1,4059.5,,,,,13.8,11.6,,,,,,,0.288,0.238,,,22.4,19.2
H01,Absolute Quantification,ABS,M20_T1A_0.4,Ch1Unknown,CARP,Manual,3.8,ddPCR Supermix for Probes,76,,,5.4,2.5,27,8388,0,27,300,8088,0,8415,,,,,,,,0.089,,,0.124,0.053,8.1,,,11.1,5.2,1,1,7000,8822.1,3861.6,3877.5,,,,,4.6,3.1,,,,,,,0.106,0.071,,,9.6,6.6
H02,Absolute Quantification,ABS,M20_T1A_0.4,Ch1Unknown,CARP,Manual,4.2,ddPCR Supermix for Probes,84,,,5.4,3.2,55,15282,3,52,471,14811,0.103,15337,,,,,,,,0.114,,,0.147,0.082,10.3,,,12.9,7.7,1,1,7000,8834.5,3967.8,3985.2,,,,,4.8,3.7,,,,,,,0.131,0.098,,,11.6,9
H03,Absolute Quantification,ABS,M20_T1A_0.4,Ch1Unknown,CARP,Manual,7.4,ddPCR Supermix for Probes,148,,,9.4,5.7,61,9660,2,59,324,9336,0,9721,,,,,,,,0.18,,,0.24,0.13,15.6,,,19.2,12,1,1,7000,8579.8,3902.6,3932,,,,,8.4,6.5,,,,,,,0.21,0.159,,,17.4,13.7
A04,Absolute Quantification,ABS,M21_T1A_1.2,Ch1Unknown,CARP,Manual,25.2,ddPCR Supermix for Probes,504,,,28.4,22.1,249,11480,38,211,1088,10392,1.6,11729,,,,,,,,0.213,,,0.242,0.183,17.5,,,19.5,15.5,1,1,7000,8513.8,3918.3,4015.9,,,,,26.8,23.6,,,,,,,0.227,0.198,,,18.5,16.5
A05,Absolute Quantification,ABS,M21_T1A_1.2,Ch1Unknown,CARP,Manual,22.2,ddPCR Supermix for Probes,444,,,25.3,19.2,209,10952,22,187,1091,9861,0.138,11161,,,,,,,,0.18,,,0.207,0.153,15.3,,,17.2,13.3,1,1,7000,8823.5,4118.4,4206.5,,,,,23.8,20.7,,,,,,,0.194,0.166,,,16.2,14.3
A06,Absolute Quantification,ABS,M21_T1A_1.2,Ch1Unknown,CARP,Manual,25.3,ddPCR Supermix for Probes,506,,,28.1,22.4,302,13899,42,260,1371,12528,1.12,14201,,,,,,,,0.205,,,0.231,0.18,17,,,18.8,15.3,1,1,7000,8609.8,4036.9,4134.1,,,,,26.7,23.8,,,,,,,0.218,0.192,,,17.9,16.1
B04,Absolute Quantification,ABS,M21_T1A_0.4,Ch1Unknown,CARP,Manual,2.3,ddPCR Supermix for Probes,46,,,3.3,1.6,27,13657,2,25,260,13397,0.13,13684,,,,,,,,0.102,,,0.143,0.061,9.3,,,12.6,5.9,1,1,7000,8533,3901.8,3910.9,,,,,2.8,1.91,,,,,,,0.123,0.082,,,11,7.6
B05,Absolute Quantification,ABS,M21_T1A_0.4,Ch1Unknown,CARP,Manual,2.3,ddPCR Supermix for Probes,46,,,3.4,1.5,24,12049,0,24,251,11798,0,12073,,,,,,,,0.095,,,0.135,0.055,8.7,,,12,5.3,1,1,7000,8961.3,4134.2,4143.8,,,,,2.85,1.9,,,,,,,0.115,0.074,,,10.3,7
