"Treatment","Size","Target","Time.days.trend","lower.HPD","upper.HPD","HPD.12.5","HPD.87.5"
"ETO","0.4","CARP",2.25005187364713,2.79721932932575,1.68892667764564,2.55054112431256,1.91091445767455
"DOC","0.4","CARP",2.33541565528801,3.13577878506616,1.63580464058415,2.77059903156467,1.91072616903266
"NCL","0.4","CARP",2.19901364932308,2.70852799614561,1.68274678848376,2.47565436884342,1.88154637061751
"NCH","0.4","CARP",2.44386789696045,2.99099645501215,1.85126488470424,2.77445589370994,2.11626823255711
"BFL","0.4","CARP",3.22637410406824,3.9458511394173,2.47420926269158,3.66196107064585,2.79559850072213
"BFH","0.4","CARP",3.73551375454542,4.55687976729218,2.92633433167837,4.17043866527374,3.22287439009795
"ETO","1.2","CARP",3.20056029114756,3.77141799080004,2.65387600411163,3.53406656299536,2.88982382966272
"DOC","1.2","CARP",1.75018790698624,2.33253068075506,1.14714478792831,2.09808128203485,1.42440000421935
"NCL","1.2","CARP",2.65424195745939,3.19346263424728,2.13754740512577,2.96119776768491,2.3558181866635
"NCH","1.2","CARP",2.60897086634143,3.1102579782728,2.08214146674486,2.88926896336411,2.31161878274758
"BFL","1.2","CARP",3.52674240036122,4.04238916330268,3.04728429590441,3.84575563619868,3.26292560341892
"BFH","1.2","CARP",3.67849560745409,4.18548569100361,3.19429575545826,3.96776460065662,3.39606955098011
"ETO","0.4","STHD",3.03517009778458,3.5944011083671,2.48517804753549,3.349433182809,2.70553066102015
"DOC","0.4","STHD",2.9369624348251,3.5411707145478,2.35941430973214,3.28421739429734,2.59463798982737
"NCL","0.4","STHD",2.55073663026969,3.02924561891834,2.02260602608424,2.82485076754356,2.24353503208949
"NCH","0.4","STHD",2.74233920684972,3.23311369365183,2.2256996111576,3.03515537741854,2.4543651667922
"BFL","0.4","STHD",4.20069369415189,4.76425303996883,3.64119729527305,4.55662482728366,3.88636545938192
"BFH","0.4","STHD",4.78299822180154,5.33582730204267,4.21987248563207,5.09312566529975,4.42786035765624
"ETO","1.2","STHD",2.16942387651034,2.71870932893613,1.62272531467797,2.47894357151482,1.84796745162841
"DOC","1.2","STHD",1.54894906006189,2.14930979329325,0.950235889779937,1.88981486230957,1.1936075099723
"NCL","1.2","STHD",2.53836828181444,3.05477400459695,2.03795456510024,2.84459649389858,2.26521068889007
"NCH","1.2","STHD",2.19345141772113,2.715992931491,1.69809380219872,2.48683459075376,1.89802898850259
"BFL","1.2","STHD",2.48348792717504,3.00667571833888,1.98739498406411,2.77621831882893,2.18466584927194
"BFH","1.2","STHD",2.73645482831324,3.22544986623663,2.23533638131752,3.02935685933495,2.45477665168113
