"contrast","Size","Target","estimate","lower.HPD","upper.HPD"
"ETO - DOC","0.4","CARP",0.0926436948222249,-0.838834414561349,0.985382521612054
"ETO - NCL","0.4","CARP",-0.0495605112950741,-0.79702222665457,0.620655855177916
"ETO - NCH","0.4","CARP",0.199402292037867,-0.57067163032092,0.91641435324565
"ETO - BFL","0.4","CARP",0.986724974583496,0.169876212394714,1.7849560859914
"ETO - BFH","0.4","CARP",1.48232019449105,0.59949838813585,2.33747086717743
"DOC - NCL","0.4","CARP",-0.136782831519646,-0.86446453277752,0.694335564968209
"DOC - NCH","0.4","CARP",0.105863655615335,-0.743482331104776,0.914309556391305
"DOC - BFL","0.4","CARP",0.903114109311834,-0.0773816693063648,1.87620304085161
"DOC - BFH","0.4","CARP",1.40107433794666,0.363700825572652,2.44521606183781
"NCL - NCH","0.4","CARP",0.246799811318956,-0.411967805552343,0.890975160032711
"NCL - BFL","0.4","CARP",1.03779395287716,0.214893830692941,1.85823174735147
"NCL - BFH","0.4","CARP",1.53483359144976,0.703537744720915,2.45685133596882
"NCH - BFL","0.4","CARP",0.787697909292504,-0.0736479650698593,1.63860952061694
"NCH - BFH","0.4","CARP",1.29046750567184,0.37944021113212,2.18402560918866
"BFL - BFH","0.4","CARP",0.49915274595157,-0.51089769045989,1.45143351625185
"ETO - DOC","1.2","CARP",-1.45449321763321,-2.26164857083674,-0.664641911893257
"ETO - NCL","1.2","CARP",-0.554300092988613,-1.26652032777965,0.148273306199392
"ETO - NCH","1.2","CARP",-0.594626153969432,-1.31279182963934,0.0999258503021204
"ETO - BFL","1.2","CARP",0.330397114131951,-0.314156037313046,0.966448714874467
"ETO - BFH","1.2","CARP",0.481854052409638,-0.150291840461368,1.12104469125255
"DOC - NCL","1.2","CARP",0.907883085764847,0.230773052448298,1.57563403086987
"DOC - NCH","1.2","CARP",0.867010383679768,0.199449900113516,1.51364059986258
"DOC - BFL","1.2","CARP",1.78911893128264,1.04100713739325,2.5152418192365
"DOC - BFH","1.2","CARP",1.94431271724428,1.19229735128285,2.65692617936436
"NCL - NCH","1.2","CARP",-0.0399712089606469,-0.645765789520771,0.591719491452112
"NCL - BFL","1.2","CARP",0.883851721043768,0.222889473502789,1.54513778445016
"NCL - BFH","1.2","CARP",1.03676243942567,0.394027203441212,1.6819756514389
"NCH - BFL","1.2","CARP",0.920784453352584,0.311745314269914,1.60688958719178
"NCH - BFH","1.2","CARP",1.07591500685241,0.434132489569685,1.73533864520144
"BFL - BFH","1.2","CARP",0.151297641833923,-0.439917910756923,0.735671138133765
"ETO - DOC","0.4","STHD",-0.101638001114346,-0.918267702936933,0.660520110097379
"ETO - NCL","0.4","STHD",-0.493345629032761,-1.2080368098189,0.162215355447966
"ETO - NCH","0.4","STHD",-0.298154291445495,-0.958193544729273,0.45451369184079
"ETO - BFL","0.4","STHD",1.17201052385504,0.512504705972912,1.84145747916629
"ETO - BFH","0.4","STHD",1.74552594501278,1.09380026002218,2.41974680877658
"DOC - NCL","0.4","STHD",-0.386003816171845,-1.06426039614885,0.260772144938656
"DOC - NCH","0.4","STHD",-0.200022260087361,-0.823584350550306,0.475346759319509
"DOC - BFL","0.4","STHD",1.26891198063258,0.52485722810925,2.06852115256327
"DOC - BFH","0.4","STHD",1.85090284281235,1.00761479440781,2.56496132392154
"NCL - NCH","0.4","STHD",0.192225738661176,-0.437720557093117,0.770607281335751
"NCL - BFL","0.4","STHD",1.65585686544974,0.974109693432705,2.34718502662532
"NCL - BFH","0.4","STHD",2.23887043367726,1.58312955964158,2.93030903067197
"NCH - BFL","0.4","STHD",1.4622145995864,0.793913462404246,2.20411310326364
"NCH - BFH","0.4","STHD",2.04633466319292,1.34529287491841,2.74092163746674
"BFL - BFH","0.4","STHD",0.578509084923382,-0.11434466452478,1.27168293226556
"ETO - DOC","1.2","STHD",-0.627120178776121,-1.42422265325466,0.186046317884339
"ETO - NCL","1.2","STHD",0.368568323553309,-0.274162489991977,1.09795318429529
"ETO - NCH","1.2","STHD",0.0206977232132044,-0.657681022860879,0.740451008614895
"ETO - BFL","1.2","STHD",0.318805415882164,-0.313396999282627,0.952378119304101
"ETO - BFH","1.2","STHD",0.570298290486296,-0.0446409868539556,1.18841774921778
"DOC - NCL","1.2","STHD",0.993854329445011,0.283948828171299,1.61704787357778
"DOC - NCH","1.2","STHD",0.654103360930026,-0.026760478647542,1.30807455322821
"DOC - BFL","1.2","STHD",0.942770477799546,0.21034741486325,1.68672945037757
"DOC - BFH","1.2","STHD",1.1911642870483,0.462053123682516,1.9541773972814
"NCL - NCH","1.2","STHD",-0.34214706218511,-0.92798824904,0.250465285335505
"NCL - BFL","1.2","STHD",-0.0509330888939156,-0.730369300336865,0.566754033745962
"NCL - BFH","1.2","STHD",0.20272782261429,-0.464581934447577,0.818750663357071
"NCH - BFL","1.2","STHD",0.28978490960483,-0.357516435267144,0.930069069782324
"NCH - BFH","1.2","STHD",0.546358245276004,-0.1023467261255,1.18257465324294
"BFL - BFH","1.2","STHD",0.254998349661156,-0.342909408343117,0.859589580610968
