"Meso.Num","Row","Target","Size","K","Trtmt","depth","K_s","V_dep"
"M1","1","CARP","0.4",-3.32676425226417,"BFL",0.0791428571428571,-3.85042158826871e-05,-0.00304733365700124
"M1","1","CARP","1.2",-3.5510959567905,"BFL",0.0791428571428571,-4.11006476480382e-05,-0.00325282268528759
"M1","1","STHD","0.4",-4.7805447256974,"BFL",0.0791428571428571,-5.53303787696458e-05,-0.00437900426262625
"M1","1","STHD","1.2",-2.5374387765314,"BFL",0.0791428571428571,-2.93685043580023e-05,-0.00232430734490475
"M10","2","CARP","0.4",-4.06641696080958,"BFH",0.0800666666666667,-4.70650111204812e-05,-0.00376833855704653
"M10","2","CARP","1.2",-2.95467368910034,"BFH",0.0800666666666667,-3.41976121423651e-05,-0.0027380888121987
"M10","2","STHD","0.4",-4.65445452146931,"BFH",0.0800666666666667,-5.38710014058948e-05,-0.00431327151256531
"M10","2","STHD","1.2",-2.15120900650838,"BFH",0.0800666666666667,-2.48982523901433e-05,-0.00199352007470414
"M11","2","CARP","0.4",-3.14250246993754,"BFL",0.0787142857142857,-3.63715563650179e-05,-0.00286296107958926
"M11","2","CARP","1.2",-2.67056082614605,"BFL",0.0787142857142857,-3.09092688211348e-05,-0.00243300101720647
"M11","2","STHD","0.4",-4.8488828455515,"BFL",0.0787142857142857,-5.61213292309202e-05,-0.00441755034374815
"M11","2","STHD","1.2",-1.42956496909656,"BFL",0.0787142857142857,-1.6545890846025e-05,-0.0013023979794514
"M12","2","CARP","0.4",-2.18650672113323,"DOC",0.0780666666666667,-2.53067907538568e-05,-0.00197561679818442
"M12","2","CARP","1.2",-2.28546192176169,"DOC",0.0780666666666667,-2.64521055759455e-05,-0.00206502770862881
"M12","2","STHD","0.4",-2.37369474193029,"DOC",0.0780666666666667,-2.74733187723414e-05,-0.00214475041882745
"M12","2","STHD","1.2",-2.03265367939706,"DOC",0.0780666666666667,-2.35260842522808e-05,-0.00183660297729472
"M13","3","CARP","0.4",-2.20995365665374,"NCH",0.07175,-2.55781673223813e-05,-0.00183523350538086
"M13","3","CARP","1.2",-2.44249806335485,"NCH",0.07175,-2.82696535110515e-05,-0.00202834763941794
"M13","3","STHD","0.4",-2.50174404055647,"NCH",0.07175,-2.8955370839774e-05,-0.00207754785775378
"M13","3","STHD","1.2",-2.24929272397285,"NCH",0.07175,-2.60334806015376e-05,-0.00186790223316032
"M14","3","CARP","0.4",-3.64311401832032,"BFL",0.0732666666666667,-4.2165671508337e-05,-0.00308933819917749
"M14","3","CARP","1.2",-3.2577823241383,"BFL",0.0732666666666667,-3.77058139367859e-05,-0.00276257930110184
"M14","3","STHD","0.4",-3.71514811330582,"BFL",0.0732666666666667,-4.29993994595581e-05,-0.00315042266707029
"M14","3","STHD","1.2",-2.64927347044029,"BFL",0.0732666666666667,-3.06628873893553e-05,-0.00224656754939343
"M16","3","CARP","0.4",-5.45326788759816,"BFH",0.077,-6.31165264768306e-05,-0.00485997253871595
"M16","3","CARP","1.2",-3.39302792968014,"BFH",0.077,-3.92711565935201e-05,-0.00302387905770105
"M16","3","STHD","0.4",-5.27664884024796,"BFH",0.077,-6.1072324539907e-05,-0.00470256898957284
"M16","3","STHD","1.2",-2.53791336044162,"BFH",0.077,-2.93739972273336e-05,-0.00226179778650469
"M17","3","CARP","0.4",-2.06111076027563,"ETO",0.07375,-2.38554486143013e-05,-0.00175933933530472
"M17","3","CARP","1.2",-3.16674571936806,"ETO",0.07375,-3.66521495297229e-05,-0.00270309602781706
"M17","3","STHD","0.4",-2.8571209678256,"ETO",0.07375,-3.30685297202037e-05,-0.00243880406686502
"M17","3","STHD","1.2",-2.01661677450905,"ETO",0.07375,-2.33404719271881e-05,-0.00172135980463012
"M18","3","CARP","0.4",-2.28812440403663,"NCL",0.075,-2.64829213430165e-05,-0.00198621910072624
"M18","3","CARP","1.2",-2.25540344258709,"NCL",0.075,-2.61042065114246e-05,-0.00195781548835685
"M18","3","STHD","0.4",-2.26794662478119,"NCL",0.075,-2.62493822312638e-05,-0.00196870366734478
"M18","3","STHD","1.2",-2.17763088344809,"NCL",0.075,-2.52040611510196e-05,-0.00189030458632647
"M19","4","CARP","0.4",-1.48970483788835,"ETO",0.07525,-1.72419541422263e-05,-0.00129745704920253
"M19","4","CARP","1.2",-2.4614057791601,"ETO",0.07525,-2.84884928143531e-05,-0.00214375908428007
"M19","4","STHD","0.4",-2.48123888587197,"ETO",0.07525,-2.87180426605552e-05,-0.00216103271020678
"M19","4","STHD","1.2",-1.49535355075236,"ETO",0.07525,-1.73073327633375e-05,-0.00130237679044115
"M2","1","CARP","0.4",-1.03404983222219,"NCL",0.0772857142857143,-1.19681693544235e-05,-0.000924968517249017
"M2","1","CARP","1.2",-2.94438009791205,"NCL",0.0772857142857143,-3.40784733554635e-05,-0.00263377915504368
"M2","1","STHD","0.4",-1.15682139513446,"NCL",0.0772857142857143,-1.33891365177599e-05,-0.00103478897944402
"M2","1","STHD","1.2",-2.78424457979008,"NCL",0.0772857142857143,-3.22250530068297e-05,-0.00249053623952784
"M20","4","CARP","0.4",-5.2443854851281,"BFH",0.0730769230769231,-6.06989060778715e-05,-0.00443568929030599
"M20","4","CARP","1.2",-3.21173028380265,"BFH",0.0730769230769231,-3.71728042106788e-05,-0.0027164741538573
"M20","4","STHD","0.4",-6.69422086464204,"BFH",0.0730769230769231,-7.74794081555792e-05,-0.00566195674983079
"M20","4","STHD","1.2",-1.74593904609948,"BFH",0.0730769230769231,-2.02076278483736e-05,-0.00147671126584269
"M21","4","CARP","0.4",-2.00170791535033,"NCL",0.075,-2.31679156869251e-05,-0.00173759367651938
"M21","4","CARP","1.2",-3.17169789709768,"NCL",0.075,-3.67094664015935e-05,-0.00275320998011951
"M21","4","STHD","0.4",-2.65166324989263,"NCL",0.075,-3.06905468737573e-05,-0.0023017910155318
"M21","4","STHD","1.2",-2.62475919346943,"NCL",0.075,-3.03791573318221e-05,-0.00227843679988666
"M22","4","CARP","0.4",-3.55679907484983,"BFL",0.0777333333333333,-4.116665595891e-05,-0.00320002138987261
"M22","4","CARP","1.2",-2.78744408185466,"BFL",0.0777333333333333,-3.22620842807252e-05,-0.00250783935142171
"M22","4","STHD","0.4",-4.45316728112036,"BFL",0.0777333333333333,-5.15412879759301e-05,-0.0040064761186623
"M22","4","STHD","1.2",-1.37932154607293,"BFL",0.0777333333333333,-1.59643697462145e-05,-0.00124096367493907
"M23","4","CARP","0.4",-2.90802376812283,"DOC",0.0762666666666667,-3.36576825014217e-05,-0.00256695925210843
"M23","4","CARP","1.2",-2.65570889985628,"DOC",0.0762666666666667,-3.07373715261144e-05,-0.00234423686839165
"M23","4","STHD","0.4",-4.41741613225617,"DOC",0.0762666666666667,-5.11275015307427e-05,-0.00389932411674465
"M23","4","STHD","1.2",-2.25834141953679,"DOC",0.0762666666666667,-2.61382108742684e-05,-0.00199347421601087
"M24","4","CARP","0.4",-2.57080074577665,"NCH",0.0738,-2.97546382613038e-05,-0.00219589230368422
"M24","4","CARP","1.2",-2.8751649451527,"NCH",0.0738,-3.32773720503785e-05,-0.00245587005731793
"M24","4","STHD","0.4",-2.7123134596488,"NCH",0.0738,-3.13925168940834e-05,-0.00231676774678335
"M24","4","STHD","1.2",-2.39473784490834,"NCH",0.0738,-2.77168732049577e-05,-0.00204550524252587
"M3","1","CARP","0.4",-3.77108191705775,"BFH",0.0775714285714286,-4.36467814474277e-05,-0.00338574318942189
"M3","1","CARP","1.2",-2.81819475275991,"BFH",0.0775714285714286,-3.261799482361e-05,-0.00253022445560289
"M3","1","STHD","0.4",-5.28064825544905,"BFH",0.0775714285714286,-6.11186140676974e-05,-0.0047410582055371
"M3","1","STHD","1.2",-1.52545107240613,"BFH",0.0775714285714286,-1.76556837084043e-05,-0.00136957660766622
"M4","1","CARP","0.4",-2.91544422464514,"DOC",0.0718,-3.37435674148743e-05,-0.00242278814038798
"M4","1","CARP","1.2",-2.52181199069498,"DOC",0.0718,-2.91876387811919e-05,-0.00209567246448958
"M4","1","STHD","0.4",-2.79091597813154,"DOC",0.0718,-3.23022682654113e-05,-0.00231930286145653
"M4","1","STHD","1.2",-2.37834392158501,"DOC",0.0718,-2.75271287220487e-05,-0.0019764478422431
"M5","1","CARP","0.4",-2.14196312847021,"NCH",0.07775,-2.47912399128497e-05,-0.00192751890322406
"M5","1","CARP","1.2",-3.00258466511395,"NCH",0.07775,-3.47521373277077e-05,-0.00270197867722928
"M5","1","STHD","0.4",-2.16171049219013,"NCH",0.07775,-2.50197973633116e-05,-0.00194528924499748
"M5","1","STHD","1.2",-2.74322534408386,"NCH",0.07775,-3.17502933343039e-05,-0.00246858530674213
"M6","1","CARP","0.4",-1.98526145631647,"ETO",0.07625,-2.2977563151811e-05,-0.00175203919032559
"M6","1","CARP","1.2",-2.51385880957673,"ETO",0.07625,-2.90955880738047e-05,-0.00221853859062761
"M6","1","STHD","0.4",-2.36719308699197,"ETO",0.07625,-2.73980681364811e-05,-0.00208910269540668
"M6","1","STHD","1.2",-1.49634627035932,"ETO",0.07625,-1.73188225736032e-05,-0.00132056022123724
"M7","2","CARP","0.4",-1.71782927344452,"ETO",0.08,-1.98822832574597e-05,-0.00159058266059678
"M7","2","CARP","1.2",-2.91160743555374,"ETO",0.08,-3.36991601337238e-05,-0.0026959328106979
"M7","2","STHD","0.4",-2.57816848982874,"ETO",0.08,-2.98399130767215e-05,-0.00238719304613772
"M7","2","STHD","1.2",-2.57633028145787,"ETO",0.08,-2.98186375168735e-05,-0.00238549100134988
"M8","2","CARP","0.4",-2.7286249422882,"NCL",0.0800666666666667,-3.15813072024098e-05,-0.00252860999667294
"M8","2","CARP","1.2",-2.35323366437097,"NCL",0.0800666666666667,-2.72365007450344e-05,-0.00218073582631909
"M8","2","STHD","0.4",-3.83289032855331,"NCL",0.0800666666666667,-4.43621565804781e-05,-0.00355193000354361
"M8","2","STHD","1.2",-4.750442956828,"NCL",0.0800666666666667,-5.49819786669907e-05,-0.00440222375860372
"M9","2","CARP","0.4",-1.90515501949652,"NCH",0.0808,-2.20504053182467e-05,-0.00178167274971434
"M9","2","CARP","1.2",-4.12390221192161,"NCH",0.0808,-4.77303496750186e-05,-0.00385661225374151
"M9","2","STHD","0.4",-4.05046519813535,"NCH",0.0808,-4.68803842376776e-05,-0.00378793504640435
"M9","2","STHD","1.2",-3.64660700665153,"NCH",0.0808,-4.22060996140224e-05,-0.00341025284881301
